,text,premise
45,"I got the idea about ""being around negative thinking will affect you negatively"" from the book ""Directional Thinking"" by Benjamin Chapin.","I got the idea about ""being around negative thinking will affect you negatively"" from the book ""Directional Thinking"" by Benjamin Chapin."
19,"Right, but did the inventor of nativity scenes think it would ""look cooler"" because it portrays Joseph as a stereotypical Jewish cheapskate? Why change things from the biblical version of events?","the inventor of nativity scenes think it would ""look cooler"" because it portrays Joseph as a stereotypical Jewish cheapskate?
Why change things from the biblical version of events?"
24,"Actually, most commentators think they didn't show up for a year or two.
Also, ""inn"" is arguably a poor translation.
It wasn't a hotel that didn't have room for them.
It was that extended family didn't have a guest room for Joseph's family (perhaps because of the scandalous nature of Mary's pregnancy?).
Them being stuck in a barn has nothing to do with Joseph being cheap and everything to do with his family having poor hospitality.","It wasn't a hotel that didn't have room for them
It was that extended family didn't have a guest room for Joseph's family
perhaps because of the scandalous nature of Mary's pregnancy?"
6,"∆

You're right. I forgot that one of the main diagnostic criteria for almost any mental disorder is the impact it has on the persons well-being, and
if someone is generally in a better state identifying as an otherkin, then there would be no real need to treat them, unless they started disrupting the lives of others.",I forgot that one of the main diagnostic criteria for almost any mental disorder is the impact it has on the persons well-being
38,"Bah.
How many tons of food, water, and blankets did firefighters haul into the Sandy disaster zone?
Way less than my folk.
Does that make us public servants?
Nope.
We all just do our jobs.","How many tons of food, water, and blankets did firefighters haul into the Sandy disaster zone?
Way less than my folk.
Does that make us public servants?"
80,The fact I don't fear an Amish flying a plane into my office tower or a Jain blowing up my bus makes me doubt that religions have no inherent features that influence people's actions., The fact I don't fear an Amish flying a plane into my office tower or a Jain blowing up my bus makes me doubt that religions have no inherent features that influence people's actions. 
23,"I suppose I was taking a harsh stance when I assumed that religion had no effect on behavior , when  it obviously does . 

 I still think the culture dominates religion to a great extent , however I cannot ignore that religion does have an effect on culture to some extent.

∆

I do however, look forward to seeing if someone can convince me that culture is dominated by religion more than vise versa.", I suppose I was taking a harsh stance when I assumed that religion had no effect on behavior 
18,"Matthew 2:11

""And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him and when they had opened their treasures, they presented unto him gifts; gold, and frankincense and myrrh.""

When the wise men visited Jesus, it was in a house.
The Nativity scene is about the visit of the shepherds, but the wise men are drawn into the manger scene early because it looks cooler that way.","Matthew 2:11
When the wise men visited Jesus, it was in a house
it looks cooler that way"
78,"Okay, but even if religion did motivate people to kill, it doesn't provide the means to kill, only the motivation.  
 However, assuming that a gun provides the motivation, it also provides the tool to kill someone with. 

That being said,  I'm not convinced that either motivates people to kill, and one gives the tools to kill with and the other doesn't . 
 This analogy falls short for me."," However, assuming that a gun provides the motivation, it also provides the tool to kill someone with. "
72,"well... yeah.
My comment was a silly way to point out a flaw in your post.
It wasn't an actual argument.","My comment was a silly way to point out a flaw in your post.
It wasn't an actual argument."
31,"> You don't care about animals, so you're content with paying for them to be abused for your pleasure.

What about ""I care about animals, but see it as a necessary evil for my sustenance.""

I feel the same way about animals in medical research. I feel terrible for the animals, but it's necessary for the health of humans and a better option than researching on humans.","What about ""I care about animals, but see it as a necessary evil for my sustenance.""
I feel terrible for the animals
it's necessary for the health of humans and a better option than researching on humans"
53,"I confused patriotism, which is the love of one's country, with nationalism, which is the idea that one's country is better than other countries.
What you said is definitely true about patriots, but I misused patriots to mean nationalist.","What you said is definitely true about patriots
I misused patriots to mean nationalist"
27,"I personally don't see any distinction between my pet dog and a chicken.
If I had to take my cat to be euthanised at the vet, I would never consider his throat being sliced by a machine as he hung upside down as humane treatment.
Probably not even a bolt to the brain either.

I agree that synthetic meat would be absolutely amazing though!",I had to take my cat to be euthanised at the vet
63,"I think this isn't ALWAYS true.
Some people aren't changed by others that easily.
And I think your argument applies only to boards like /b/ or /pol/.
If you go on 4chan right now to the /wg/ board (wallpapers) or the /vr/ board, almost everyone there is nice.
They are the boards to people with dedication and interests, though.","Some people aren't changed by others that easily.
If you go on 4chan right now to the /wg/ board (wallpapers) or the /vr/ board, almost everyone there is nice"
46,"I certainly agree with your points - I didn't mean to imply that I was only for **some** freedom of speech. 
I just think lately there's been a lot of antagonistic material being published and everyone cries freedom of speech when certain groups get upset.

Why can't America be the bigger person and say ""Ok, we won't publish certain types of material, not because we're afraid of you but because we respect your views.""
Is that so hard?","Why can't America be the bigger person and say ""Ok, we won't publish certain types of material, not because we're afraid of you but because we respect your views."""
81,"The Amish and the Vedic religions in general haven't been demonized to the same extent as Muslims have.  
 I'm far morel likely in general to be killed by a Christian than a Muslim  , but  that doesn't mean I should fear Christians. 

 So, if you're measuring by fear people feel, you're more likely to find the source of that in the mainstream media than you will in religion.  
 Look at how scared everyone got over Ebola, a non issue for most westerners."," I'm far morel likely in general to be killed by a Christian than a Muslim 
 So, if you're measuring by fear people feel, you're more likely to find the source of that in the mainstream media than you will in religion. 
 Look at how scared everyone got over Ebola, a non issue for most westerners. "
26,"Option 3.1415926: I buy all my meat from local farms that I know have free-range chickens and cows that are grass-fed and well-treated until they are humanely slaughtered, and once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead.","once the technology exists to 3D-print a chicken breast that tastes about as good as the real thing at an affordable price with 0 animal death, I eat that instead."
29,"How does a chicken ""want"" anything?
It is completely incapable of developing a though like, ""Today would REALLY suck if that damn fox bites me again"".

Yes, intelligence matters.
If not, we wouldn't allow brain-dead people to be unplugged.
Self-awareness puts one in a separate category than an animal.
But, regardless, I'm not trying to convince you not to care about animals, but that a rational person could come to the decision that those without higher cognition or self-awareness aren't equal.","How does a chicken ""want"" anything?
If not, we wouldn't allow brain-dead people to be unplugged."
25,"A lot (dunno %) vegetarians/vegans see killing animals for food is fundamentally unethical.
So they are not doing it for better state of animal welfare in farms.
I personally don't have a problem with animals being killed humanely, so if I become vegetarian it would be about welfare.
But that's me.
But I agree with you that becoming vegetarian just for that is not very helpful for welfare.
I just see people's reasoning.","I personally don't have a problem with animals being killed humanely,
if I become vegetarian it would be about welfare"
43,"No I'm not claiming this.  
Please read again my original post, this time trying to understand it.
 Distinguish between decreasing and stopping, owning and responsibly owning, laws and culture..."," Distinguish between decreasing and stopping, owning and responsibly owning, laws and culture... "
41,"War for oil sustains our economy.
Not sure where you got your idea of communism, but ok.","War for oil sustains our economy.
Not sure where you got your idea of communism"
76,"> Someone going vegan and someone becoming an ~~ethical~~ *slightly less unethical* carnivore reduce demand for factory-farmed meat by exactly the same amount (1 person). The ~~ethical~~ *slightly less unethical* carnivore just happens to also increase demand for responsibly-grown meat.

I fixed your statement.
Someone who eats ""happy"" meat isn't helping animals.
They are simply supporting farms that are somewhat less cruel.",They are simply supporting farms that are somewhat less cruel.
3,"It wouldn't be a fine, since it would only be a suspension of ""assistance"" anyway.
And poverty is a formidable obstacle but many, many people come from poverty to be wildly successful.
That cannot be a blanket excuse for poor academic performance.
I believe the fulcrum of a child's development has always been, and will always be the parent(a living, mentally capable set of or just one parent).","since it would only be a suspension of ""assistance"" anyway
And poverty is a formidable obstacle but many, many people come from poverty to be wildly successful."
73,"Something like this will take decades or centuries and won't be applied evenly across the entire planet.
I don't see how it's possible society couldn't adapt as the inevitability of a laborless civilization grows.",I don't see how it's possible society couldn't adapt as the inevitability of a laborless civilization grows.
40,"I’m not sure how sacrificing rights makes them more deserving of such discounts.
After all, rewarding people for suffering rather than production is what the commies do[!]","After all, rewarding people for suffering rather than production is what the commies do[!]"
70,"According to the theory of evolution it makes more sense that the egg preceded the chicken.
Before the chicken there was a similar but different creature.
Let's call it X. Its completely arbitrary when the X officially evolved into a chicken, but at some point it does.
An X, not a chicken lays the first chicken egg.
The chicken egg comes before any creature considered a chicken exist.
Am I wrong?

PS I'm playing laser tag soon so I will respond in 20ish minutes.","According to the theory of evolution it makes more sense that the egg preceded the chicken
Before the chicken there was a similar but different creature.
Let's call it X.
Its completely arbitrary when the X officially evolved into a chicken
at some point it does
An X, not a chicken lays the first chicken egg."
20,"Although it's highly unlikely that there would be a long period without conflict, I can see how something similar could happen.
However, it's not like the previous generation's knowledge would have disappeared there are thousands of guides and essays about every topic.",there are thousands of guides and essays about every topic
7,"Eugenics would work if eugenics worked.
That's basically all you've said.
Which is basically like saying if unicorns were real, they would be real.

> Congrats on your degree, but degrees are no more a measure of intelligence than IQ (which kind of is, meaning degrees kind of are)

No
. I think you'll find someone who has a degree in topic X is a much better indicator of their holistic intellectual ability with respect to category X than a simple reductive IQ test.","Which is basically like saying if unicorns were real, they would be real."
62,"partly, but communism in combination with capitalism has a different approach then pure communism, one of the failures of communism was the lack of incentive, with a part capitalism those with drive can still succeed, but everyone else will still have basic living tools,
and i won't lie, people will see a reduction in what they are able to buy, but when you balance that out with perpetual unemployment its still better then the alternative.
ps
Communism has some flaws, but it has also had a long time for people to find solutions to those flaws,","one of the failures of communism was the lack of incentive, with a part capitalism those with drive can still succeed, but everyone else will still have basic living tools,
i won't lie, people will see a reduction in what they are able to buy"
28,"I may have a different stance on seeing no difference between companion animals and farm animals because many of my pets are exotic and farm animals.
The fact we have domesticated some animals also does not mean they suffer any differently to their wild cousins.
Are you seriously saying you consider slaughtering an animal morally equal to harvesting a crop?","many of my pets are exotic and farm animals
we have domesticated some animals
Are you seriously saying you consider slaughtering an animal morally equal to harvesting a crop?"
67,"I don't think I'm misinterpreting the motivations of vegans. I know from personal experience that people go vegan/vegetarian for a huge variety of reasons, from personal health to carbon footprint to animal welfare to ethics of eating meat to budget (meat is expensive).","I know from personal experience that people go vegan/vegetarian for a huge variety of reasons, from personal health to carbon footprint to animal welfare to ethics of eating meat to budget (meat is expensive)."
52,"That may be true.
My thinking was that abortions were mainly required by unfortunate people, who in turn from their difficult circumstances, would've raised the child to be the same.
Can you counter that? I have a [source](http://www.guttmacher.org/media/nr/2010/05/04/index.html) that shows that abortions are typically (and in some years, mostly) had by people without enough wealth to care for there kids.","Can you counter that?
I have a [source](http://www.guttmacher.org/media/nr/2010/05/04/index.html) that shows that abortions are typically (and in some years, mostly) had by people without enough wealth to care for there kids."
61,"you are forgetting the need to make money also wains, as unemployment rises it simply converts half the population to communism while the working class keep capitalism",as unemployment rises it simply converts half the population to communism while the working class keep capitalism
69,"Good point, although I regard that as speciesism.

I do have a Christian friend who is extremely charitable.
She's a carer, a foster mother and a complete romantic who writes novels about angels.
She 's obviously an all-round good and kind person, but she eats meat.

I rationalise this by realising that helping people is her passion, and perhaps her religion justifies a moral distinction between humans and non-human animals.
Doesn't the Bible claim something along the lines of that animals were created for the enjoyment of humans (I haven't read it myself)?","She's a carer, a foster mother and a complete romantic who writes novels about angels.
She 's obviously an all-round good and kind person
she eats meat
perhaps her religion justifies a moral distinction between humans and non-human animals
Doesn't the Bible claim something along the lines of that animals were created for the enjoyment of humans"
9,"The thing is though, what is considered a political fringe isn't really all that subjective.

Most reasonable people think groups like the KKK, the Golden Dawn, Nazis, Militant anarchist terrorists, ISIS, Al-Qaeda and any other neo-fascist group are dangerous.","Most reasonable people think groups like the KKK, the Golden Dawn, Nazis, Militant anarchist terrorists, ISIS, Al-Qaeda and any other neo-fascist group are dangerous."
48,"Did you forget that there were two people there already with guns and training?
The two armed police officers guarding the place.
That would be the 1 out of 5 people you call for, and as evident, it didn't solve much.","Did you forget that there were two people there already with guns and training?
The two armed police officers guarding the place.
That would be the 1 out of 5 people you call for"
60,"My fear is that pursuing those things is irrational, that since death is coming and will erase all experience regardless, I might as well go ahead and die.

Especially if there is more pain or dull moments than pleasure in life, why not just die?","pursuing those things is irrational
death is coming and will erase all experience regardless"
10,"> Most reasonable people think groups like the KKK, the Golden Dawn, Nazis, Militant anarchist terrorists, ISIS, Al-Qaeda and any other neo-fascist group are dangerous.

I don't disagree, but on principle who gets to define what being a reasonable person is?
Stalin thought non-stalinists were dangerous, and probably a lot of Russians did too who most would consider reasonable.
Remember reasonable people actually voted Hitler into office.","on principle who gets to define what being a reasonable person is
Stalin thought non-stalinists were dangerous
probably a lot of Russians did too who most would consider reasonable
Remember reasonable people actually voted Hitler into office"
32,"I am an omnivore, and my diet consists of meat and plants.
There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.

We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat, but I'm firmly convinced that meat is a requirement for my diet.","I am an omnivore, and my diet consists of meat and plants."
47,"Well we have many examples in history when it was common to walk around well armed, where those doing it were upheld as protectors.
I think with such people among us the public would have less of a reason to be afraid then when the only people defending them is incompetent and untrustworthy police and in many countries you cannot choose to arm yourself appropriately to defend yourself and others.","Well we have many examples in history when it was common to walk around well armed, where those doing it were upheld as protectors.
in many countries you cannot choose to arm yourself appropriately to defend yourself and others."
36,"I read it a month or so ago I'm actually referring to corn.
More corn is produced for livestock than humans.

36% of all privately held acres in the US is used for growing corn just for livestock.

That's without even getting into the massive amounts of land used for soy and hay production for livestock.","More corn is produced for livestock than humans.
36% of all privately held acres in the US is used for growing corn just for livestock.
That's without even getting into the massive amounts of land used for soy and hay production for livestock."
4,"∆

Edit: tried to award you the delta.

Native intelligence is the challenge.
I won't delve into how this has infected my view, but I will say that it ties into why I think a moneyless society would over time revert to fiat currency.
Some people can do some thing's better than others...thanks.
Nice exercise.

Edit: there we go!",Some people can do some thing's better than others
75,"Someone going vegan and someone becoming an ethical carnivore reduce demand for factory-farmed meat by exactly the same amount (1 person).
The ethical carnivore just happens to *also* increase demand for responsibly-grown meat.",The ethical carnivore just happens to *also* increase demand for responsibly-grown meat.
34,"(http://theconversation.com/ordering-the-vegetarian-meal-theres-more-animal-blood-on-your-hands-4659)
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]",So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]
65,"According to the theory of evolution it makes more sense that the egg preceded the chicken.
Before the chicken there was a similar but different creature.
Let's call it X. Its completely arbitrary when the X officially evolved into a chicken, but at some point it does.
An X, not a chicken lays the first chicken egg.
The chicken egg comes before any creature considered a chicken exist.
Am I wrong?

PS I'm playing laser tag soon so I will respond in 20ish minutes.","According to the theory of evolution it makes more sense that the egg preceded the chicken
Before the chicken there was a similar but different creature.
Let's call it X.
Its completely arbitrary when the X officially evolved into a chicken
at some point it does
An X, not a chicken lays the first chicken egg."
50,"Yes, but I don't see how you intend to CMV with the scenarios 2 and 3.
I don't see them as very likely as nobody is going to draw a concealed gun when not intending to kill.

With scenario 1 I would expect the effect would be that the still thinking criminals would change to some other safer crime as their chances of getting shot would also increase.
It would still be illegal to kill a robber so I don't think some of them would start killing (thus being legal to kill in defense).","I don't see them as very likely as nobody is going to draw a concealed gun when not intending to kill.
their chances of getting shot would also increase
It would still be illegal to kill a robber
thus being legal to kill in defense"
35,">Livestock animals eat a hell of a lot more crops humans do right?

Not all crops are created equal.
How much grass do you eat on an average day?
No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.
Why, it's almost like you only read the top two paragraphs.",How much grass do you eat on an average day?
83,"Your surrounded by enough Christians you're still probably more likely to be killed by a Christian for religious reasons than a Muslim.  
It's an issue of rate, and at that point, I'd like to see stats. 
 I'm not going to take an emotional appeal when considering whether or not a religion has dangerous components. 

What particular aspects do you find toxic?", Your surrounded by enough Christians you're still probably more likely to be killed by a Christian for religious reasons than a Muslim. 
30,"Self awareness isn't a human-exclusive trait - dolphins, apes and elephants have been proven to possess it.
Regardless of self-awareness, the ability to suffer is what I regard as being more important to an individual.","dolphins, apes and elephants have been proven to possess it
Regardless of self-awareness"
66,"The modern domestic chicken is a hybrid of a red and grey junglefowl.
The egg produced by cross-breading the two species resulted in the first chicken.
Therefore, you are correct in saying that the egg came first, but your explanation is incorrect.","The modern domestic chicken is a hybrid of a red and grey junglefowl.
The egg produced by cross-breading the two species resulted in the first chicken."
59,"I wouldn't consider it pointless if I derived pleasure from reading it at the time.

I mean if you really believe that everything that does not last forever is pointless, why do you do anything? Why not sit in a corner and stare at a wall until you die?
I would guess that it's because you derive pleasure from certain things in life and that you pursue these things just like everyone else does.",I would guess that it's because you derive pleasure from certain things in life and that you pursue these things just like everyone else does
17,"∆

Yeah, you're right.
Perhaps my family (and quite a few other families) are just not equipped to play this game.
It is probably akin to Diplomacy: The family dynamic + the individual personalities of each player changes how the game goes.
Thanks for the brilliant and well thought out answer.","Perhaps my family (and quite a few other families) are just not equipped to play this game.
It is probably akin to Diplomacy
The family dynamic + the individual personalities of each player changes how the game goes"
51,"Well I don't think so, people with concealed guns don't shoot even if they see someone has a gun too.",people with concealed guns don't shoot even if they see someone has a gun too
16,"That is a possibility of have not considered actually.
Only recently (past 4 years) my family added money to the free parking, and though I always attempted to get the auction rule in I was always voted down.
Perhaps that is the reason why I have such a strong dislike of the game.
Alas, I have not actually played it in a while and I'll play it with these rules before confirming the delta, for these rules may not be enough to convince me that the game is designed well.
Though it is theoretically sound it may not hold up","Only recently (past 4 years) my family added money to the free parking
though I always attempted to get the auction rule in I was always voted down"
58,"Imagine reading a book that, once finished, is immediately erased from your memory.
That is what life is like.
Reading the book is ULTIMATELY pointless.
Because it is erased from your memory.

Life is pointless in a similar manner.","That is what life is like
Reading the book is ULTIMATELY pointless
Because it is erased from your memory"
21,"This is exactly the kind of explanation I was looking for.  
I'm on mobile, but I'll award you a delta when I get home. 
 You've appealed to all my sensibilities around this kind of issue  while only making statements I agree with to change my view. 
That was terrific.

∆", You've appealed to all my sensibilities around this kind of issue 
49,"They were there, but it seems to me as evidence that just having police is not enough.",They were there
64,"I think those boards are bit more niche and have less users.

But I get your point, in my experience /vg/ has been pretty good since people in those threads generally like the games they're talking about and not just wildly pissing about.",in my experience /vg/ has been pretty good since people in those threads generally like the games they're talking about and not just wildly pissing about
68,Shall we rule out sociopathy/psychopathy?,Shall we rule out sociopathy/psychopathy?
